,num,1,2,3,4,5,6,bonus
625,339,6,8.0,14.0,21.0,30.0,37.0,45
624,340,18,24.0,26.0,29.0,34.0,38.0,32
623,341,1,8.0,19.0,34.0,39.0,43.0,41
622,342,1,13.0,14.0,33.0,34.0,43.0,25
621,343,1,10.0,17.0,29.0,31.0,43.0,15
620,344,1,2.0,15.0,28.0,34.0,45.0,38
619,345,15,20.0,23.0,29.0,39.0,42.0,2
618,346,5,13.0,14.0,22.0,44.0,45.0,33
617,347,3,8.0,13.0,27.0,32.0,42.0,10
616,348,3,14.0,17.0,20.0,24.0,31.0,34
615,349,5,13.0,14.0,20.0,24.0,25.0,36
614,350,1,8.0,18.0,24.0,29.0,33.0,35
613,351,5,25.0,27.0,29.0,34.0,36.0,33
612,352,5,16.0,17.0,20.0,26.0,41.0,24
611,353,11,16.0,19.0,22.0,29.0,36.0,26
610,354,14,19.0,36.0,43.0,44.0,45.0,1
609,355,5,8.0,29.0,30.0,35.0,44.0,38
608,356,2,8.0,14.0,25.0,29.0,45.0,24
607,357,10,14.0,18.0,21.0,36.0,37.0,5
606,358,1,9.0,10.0,12.0,21.0,40.0,37
605,359,1,10.0,19.0,20.0,24.0,40.0,23
604,360,4,16.0,23.0,25.0,35.0,40.0,27
603,361,5,10.0,16.0,24.0,27.0,35.0,33
602,362,2,3.0,22.0,27.0,30.0,40.0,29
601,363,11,12.0,14.0,21.0,32.0,38.0,6
600,364,2,5.0,7.0,14.0,16.0,40.0,4
599,365,5,15.0,21.0,25.0,26.0,30.0,31
598,366,5,12.0,19.0,26.0,27.0,44.0,38
597,367,3,22.0,25.0,29.0,32.0,44.0,19
596,368,11,21.0,24.0,30.0,39.0,45.0,26
595,369,17,20.0,35.0,36.0,41.0,43.0,21
594,370,16,18.0,24.0,42.0,44.0,45.0,17
593,371,7,9.0,15.0,26.0,27.0,42.0,18
592,372,8,11.0,14.0,16.0,18.0,21.0,13
591,373,15,26.0,37.0,42.0,43.0,45.0,9
590,374,11,13.0,15.0,17.0,25.0,34.0,26
589,375,4,8.0,19.0,25.0,27.0,45.0,7
588,376,1,11.0,13.0,24.0,28.0,40.0,7
587,377,6,22.0,29.0,37.0,43.0,45.0,23
586,378,5,22.0,29.0,31.0,34.0,39.0,43
585,379,6,10.0,22.0,31.0,35.0,40.0,19
584,380,1,2.0,8.0,17.0,26.0,37.0,27
583,381,1,5.0,10.0,12.0,16.0,20.0,11
582,382,10,15.0,22.0,24.0,27.0,42.0,19
581,383,4,15.0,28.0,33.0,37.0,40.0,25
580,384,11,22.0,24.0,32.0,36.0,38.0,7
579,385,7,12.0,19.0,21.0,29.0,32.0,9
578,386,4,7.0,10.0,19.0,31.0,40.0,26
577,387,1,26.0,31.0,34.0,40.0,43.0,20
576,388,1,8.0,9.0,17.0,29.0,32.0,45
575,389,7,16.0,18.0,20.0,23.0,26.0,3
574,390,16,17.0,28.0,37.0,39.0,40.0,15
573,391,10,11.0,18.0,22.0,28.0,39.0,30
572,392,1,3.0,7.0,8.0,24.0,42.0,43
571,393,9,16.0,28.0,40.0,41.0,43.0,21
570,394,1,13.0,20.0,22.0,25.0,28.0,15
569,395,11,15.0,20.0,26.0,31.0,35.0,7
568,396,18,20.0,31.0,34.0,40.0,45.0,30
567,397,12,13.0,17.0,22.0,25.0,33.0,8
566,398,10,15.0,20.0,23.0,42.0,44.0,7
565,399,1,2.0,9.0,17.0,19.0,42.0,20
564,400,9,21.0,27.0,34.0,41.0,43.0,2
563,401,6,12.0,18.0,31.0,38.0,43.0,9
562,402,5,9.0,15.0,19.0,22.0,36.0,32
561,403,10,14.0,22.0,24.0,28.0,37.0,26
560,404,5,20.0,21.0,24.0,33.0,40.0,36
559,405,1,2.0,10.0,25.0,26.0,44.0,4
558,406,7,12.0,21.0,24.0,27.0,36.0,45
557,407,6,7.0,13.0,16.0,24.0,25.0,1
556,408,9,20.0,21.0,22.0,30.0,37.0,16
555,409,6,9.0,21.0,31.0,32.0,40.0,38
554,410,1,3.0,18.0,32.0,40.0,41.0,16
553,411,11,14.0,22.0,35.0,37.0,39.0,5
552,412,4,7.0,39.0,41.0,42.0,45.0,40
551,413,2,9.0,15.0,23.0,34.0,40.0,3
550,414,2,14.0,15.0,22.0,23.0,44.0,43
549,415,7,17.0,20.0,26.0,30.0,40.0,24
548,416,5,6.0,8.0,11.0,22.0,26.0,44
547,417,4,5.0,14.0,20.0,22.0,43.0,44
546,418,11,13.0,15.0,26.0,28.0,34.0,31
545,419,2,11.0,13.0,14.0,28.0,30.0,7
544,420,4,9.0,10.0,29.0,31.0,34.0,27
543,421,6,11.0,26.0,27.0,28.0,44.0,30
542,422,8,15.0,19.0,21.0,34.0,44.0,12
541,423,1,17.0,27.0,28.0,29.0,40.0,5
540,424,10,11.0,26.0,31.0,34.0,44.0,30
539,425,8,10.0,14.0,27.0,33.0,38.0,3
538,426,4,17.0,18.0,27.0,39.0,43.0,19
537,427,6,7.0,15.0,24.0,28.0,30.0,21
536,428,12,16.0,19.0,22.0,37.0,40.0,8
535,429,3,23.0,28.0,34.0,39.0,42.0,16
534,430,1,3.0,16.0,18.0,30.0,34.0,44
533,431,18,22.0,25.0,31.0,38.0,45.0,6
532,432,2,3.0,5.0,11.0,27.0,39.0,33
531,433,19,23.0,29.0,33.0,35.0,43.0,27
530,434,3,13.0,20.0,24.0,33.0,37.0,35
529,435,8,16.0,26.0,30.0,38.0,45.0,42
528,436,9,14.0,20.0,22.0,33.0,34.0,28
527,437,11,16.0,29.0,38.0,41.0,44.0,21
526,438,6,12.0,20.0,26.0,29.0,38.0,45
525,439,17,20.0,30.0,31.0,37.0,40.0,25
524,440,10,22.0,28.0,34.0,36.0,44.0,2
523,441,1,23.0,28.0,30.0,34.0,35.0,9
522,442,25,27.0,29.0,36.0,38.0,40.0,41
521,443,4,6.0,10.0,19.0,20.0,44.0,14
520,444,11,13.0,23.0,35.0,43.0,45.0,17
519,445,13,20.0,21.0,30.0,39.0,45.0,32
518,446,1,11.0,12.0,14.0,26.0,35.0,6
517,447,2,7.0,8.0,9.0,17.0,33.0,34
516,448,3,7.0,13.0,27.0,40.0,41.0,36
515,449,3,10.0,20.0,26.0,35.0,43.0,36
514,450,6,14.0,19.0,21.0,23.0,31.0,13
513,451,12,15.0,20.0,24.0,30.0,38.0,29
512,452,8,10.0,18.0,30.0,32.0,34.0,27
511,453,12,24.0,33.0,38.0,40.0,42.0,30
510,454,13,25.0,27.0,34.0,38.0,41.0,10
509,455,4,19.0,20.0,26.0,30.0,35.0,24
508,456,1,7.0,12.0,18.0,23.0,27.0,44
507,457,8,10.0,18.0,23.0,27.0,40.0,33
506,458,4,9.0,10.0,32.0,36.0,40.0,18
505,459,4,6.0,10.0,14.0,25.0,40.0,12
504,460,8,11.0,28.0,30.0,43.0,45.0,41
503,461,11,18.0,26.0,31.0,37.0,40.0,43
502,462,3,20.0,24.0,32.0,37.0,45.0,4
501,463,23,29.0,31.0,33.0,34.0,44.0,40
500,464,6,12.0,15.0,34.0,42.0,44.0,4
499,465,1,8.0,11.0,13.0,22.0,38.0,31
498,466,4,10.0,13.0,23.0,32.0,44.0,20
497,467,2,12.0,14.0,17.0,24.0,40.0,39
496,468,8,13.0,15.0,28.0,37.0,43.0,17
495,469,4,21.0,22.0,34.0,37.0,38.0,33
494,470,10,16.0,20.0,39.0,41.0,42.0,27
